batch,time,x1,x2
batch 1,0.0,-4.0,-4.0
batch 1,0.05,-3.804917754576503,-3.804917754576503
batch 1,0.1,-3.6193497299014883,-3.6193497299014883
batch 1,0.15000000000000002,-3.4428319530926665,-3.4428319530926665
batch 1,0.2,-3.274923053128825,-3.274923053128825
batch 1,0.25,-3.1152031202073074,-3.1152031202073074
batch 1,0.30000000000000004,-2.963272887841508,-2.963272887841508
batch 1,0.35000000000000003,-2.818752411808798,-2.818752411808798
batch 1,0.4,-2.6812802216485423,-2.6812802216485423
batch 1,0.45,-2.5505126474356943,-2.5505126474356943
batch 1,0.5,-2.4261226819109942,-2.4261226819109942
batch 1,0.55,-2.3077992845283006,-2.3077992845283006
batch 1,0.6000000000000001,-2.1952465880054275,-2.1952465880054275
batch 1,0.65,-2.0881831509686744,-2.0881831509686744
batch 1,0.7000000000000001,-1.986341258756741,-1.986341258756741
batch 1,0.75,-1.8894662568879306,-1.8894662568879306
batch 1,0.8,-1.7973159337491993,-1.7973159337491993
batch 1,0.8500000000000001,-1.7096598438484443,-1.7096598438484443
batch 1,0.9,-1.626278733270111,-1.626278733270111
batch 1,0.9500000000000001,-1.5469641371369054,-1.5469641371369054
batch 1,1.0,-1.4715178120311176,-1.4715178120311176
batch 1,1.05,-1.399751065124018,-1.399751065124018
batch 1,1.1,-1.3314843896342392,-1.3314843896342392
batch 1,1.1500000000000001,-1.2665471218274786,-1.2665471218274786
batch 1,1.2000000000000002,-1.2047768930667773,-1.2047768930667773
batch 1,1.25,-1.1460192314966704,-1.1460192314966704
batch 1,1.3,-1.0901272137008557,-1.0901272137008557
batch 1,1.35,-1.0369610814000993,-1.0369610814000993
batch 1,1.4000000000000001,-0.9863878921135487,-0.9863878921135487
batch 1,1.4500000000000002,-0.9382811869746975,-0.9382811869746975
batch 1,1.5,-0.8925206733981963,-0.8925206733981963
batch 1,1.55,-0.8489919260360157,-0.8489919260360157
batch 1,1.6,-0.8075860990540191,-0.8075860990540191
batch 1,1.6500000000000001,-0.7681996530456662,-0.7681996530456662
batch 1,1.7000000000000002,-0.7307341083333566,-0.7307341083333566
batch 1,1.75,-0.695095782874426,-0.695095782874426
batch 1,1.8,-0.6611955543464993,-0.6611955543464993
batch 1,1.85,-0.6289486626767824,-0.6289486626767824
batch 1,1.9000000000000001,-0.5982744723737614,-0.5982744723737614
batch 1,1.9500000000000002,-0.5690962759607687,-0.5690962759607687
batch 1,2.0,-0.5413411205541716,-0.5413411205541716
batch 1,2.0500000000000003,-0.5149396001898492,-0.5149396001898492
batch 1,2.1,-0.48982569390296077,-0.48982569390296077
batch 1,2.15,-0.465936611268566,-0.465936611268566
batch 1,2.2,-0.44321261225282227,-0.44321261225282227
batch 1,2.25,-0.4215968734280903,-0.4215968734280903
batch 1,2.3000000000000003,-0.4010353503400649,-0.4010353503400649
batch 1,2.35,-0.3814766230643801,-0.3814766230643801
batch 1,2.4000000000000004,-0.36287178457157826,-0.36287178457157826
batch 1,2.45,-0.345174318211103,-0.345174318211103
batch 1,2.5,-0.3283399656292823,-0.3283399656292823
batch 1,2.5500000000000003,-0.31232663321092946,-0.31232663321092946
batch 1,2.6,-0.29709428317642195,-0.29709428317642195
batch 1,2.6500000000000004,-0.2826048216731308,-0.2826048216731308
batch 1,2.7,-0.26882201925839144,-0.26882201925839144
batch 1,2.75,-0.2557114143212808,-0.2557114143212808
batch 1,2.8000000000000003,-0.2432402192509357,-0.2432402192509357
batch 1,2.85,-0.23137725180062615,-0.23137725180062615
batch 1,2.9000000000000004,-0.22009284964930292,-0.22009284964930292
batch 1,2.95,-0.20935879263665913,-0.20935879263665913
batch 1,3.0,-0.19914824245419294,-0.19914824245419294
batch 1,3.0500000000000003,-0.18943566751833812,-0.18943566751833812
batch 1,3.1,-0.1801967790966747,-0.1801967790966747
batch 1,3.1500000000000004,-0.17140847754157384,-0.17140847754157384
batch 1,3.2,-0.16304878682001595,-0.16304878682001595
batch 1,3.25,-0.15509680194773703,-0.15509680194773703
batch 1,3.3000000000000003,-0.14753264107261133,-0.14753264107261133
batch 1,3.35,-0.1403373885642702,-0.1403373885642702
batch 1,3.4000000000000004,-0.13349305185950716,-0.13349305185950716
batch 1,3.45,-0.12698251852915451,-0.12698251852915451
batch 1,3.5,-0.12078950749176864,-0.12078950749176864
batch 1,3.5500000000000003,-0.11489853265527698,-0.11489853265527698
batch 1,3.6,-0.10929486479770795,-0.10929486479770795
batch 1,3.6500000000000004,-0.10396449245142168,-0.10396449245142168
batch 1,3.7,-0.09889408661959001,-0.09889408661959001
batch 1,3.75,-0.09407096694767442,-0.09407096694767442
batch 1,3.8000000000000003,-0.08948307213748546,-0.08948307213748546
batch 1,3.85,-0.08511893231492003,-0.08511893231492003
batch 1,3.9000000000000004,-0.0809676341578424,-0.0809676341578424
batch 1,3.95,-0.07701879590254872,-0.07701879590254872
batch 1,4.0,-0.07326254499055598,-0.07326254499055598
batch 1,4.05,-0.06968948885729787,-0.06968948885729787
batch 1,4.1000000000000005,-0.06629069233703036,-0.06629069233703036
batch 1,4.15,-0.0630576571631499,-0.0630576571631499
batch 1,4.2,-0.05998229917369717,-0.05998229917369717
batch 1,4.25,-0.057056927988253445,-0.057056927988253445
batch 1,4.3,-0.054274228704617525,-0.054274228704617525
batch 1,4.3500000000000005,-0.05162724330603904,-0.05162724330603904
batch 1,4.4,-0.04910935292082296,-0.04910935292082296
batch 1,4.45,-0.046714261538511485,-0.046714261538511485
batch 1,4.5,-0.0444359802845872,-0.0444359802845872
batch 1,4.55,-0.04226881214425088,-0.04226881214425088
batch 1,4.6000000000000005,-0.040207337869249384,-0.040207337869249384
batch 1,4.65,-0.038246402941067716,-0.038246402941067716
batch 1,4.7,-0.036381103971472845,-0.036381103971472845
batch 1,4.75,-0.034606776621475197,-0.034606776621475197
batch 1,4.800000000000001,-0.032918984438893045,-0.032918984438893045
batch 1,4.8500000000000005,-0.03131350711815681,-0.03131350711815681
batch 1,4.9,-0.029786329879967294,-0.029786329879967294
batch 1,4.95,-0.028333633495103597,-0.028333633495103597
batch 2,0.0,-4.0,4.0
batch 2,0.05,-3.1152031228024186,3.1152031228024186
batch 2,0.1,-2.426122683904356,2.426122683904356
batch 2,0.15000000000000002,-1.889466258441256,1.889466258441256
batch 2,0.2,-1.4715178132415556,1.4715178132415556
batch 2,0.25,-1.1460192324427463,1.1460192324427463
batch 2,0.30000000000000004,-0.8925206741350244,0.8925206741350244
batch 2,0.35000000000000003,-0.6950957834456472,0.6950957834456472
batch 2,0.4,-0.541341120993808,0.541341120993808
batch 2,0.45,-0.4215968737687912,0.4215968737687912
batch 2,0.5,-0.32833996589337777,0.32833996589337777
batch 2,0.55,-0.25571141452429735,0.25571141452429735
batch 2,0.6000000000000001,-0.1991482426095421,0.1991482426095421
batch 2,0.65,-0.1550968020697454,0.1550968020697454
batch 2,0.7000000000000001,-0.12078950758594677,0.12078950758594677
batch 2,0.75,-0.09407096702027255,0.09407096702027255
batch 2,0.8,-0.07326254504706987,0.07326254504706987
batch 2,0.8500000000000001,-0.05705692803265279,0.05705692803265279
batch 2,0.9,-0.0444359803187985,0.0444359803187985
batch 2,0.9500000000000001,-0.03460677664823441,0.03460677664823441
batch 2,1.0,-0.026951786006155637,0.026951786006155637
batch 2,1.05,-0.020990072706948398,0.020990072706948398
batch 2,1.1,-0.016347085747480197,0.016347085747480197
batch 2,1.1500000000000001,-0.012731123347198899,0.012731123347198899
batch 2,1.2000000000000002,-0.0099150091457537,0.0099150091457537
batch 2,1.25,-0.0077218171152463825,0.0077218171152463825
batch 2,1.3,-0.006013757456439591,0.006013757456439591
batch 2,1.35,-0.0046835190951043885,0.0046835190951043885
batch 2,1.4000000000000001,-0.0036475284411237683,0.0036475284411237683
batch 2,1.4500000000000002,-0.0028406980960856473,0.0028406980960856473
batch 2,1.5,-0.00221233798589708,0.00221233798589708
batch 2,1.55,-0.0017229705866040556,0.0017229705866040556
batch 2,1.6,-0.0013418509418346926,0.0013418509418346926
batch 2,1.6500000000000001,-0.0010450349427704817,0.0010450349427704817
batch 2,1.7000000000000002,-0.0008138737445040678,0.0008138737445040678
batch 2,1.75,-0.0006338447935124325,0.0006338447935124325
batch 2,1.8,-0.0004936385466179411,0.0004936385466179411
batch 2,1.85,-0.0003844458999231924,0.0003844458999231924
batch 2,1.9000000000000001,-0.00029940663400594556,0.00029940663400594556
batch 2,1.9500000000000002,-0.00023317807439469736,0.00023317807439469736
batch 2,2.0,-0.00018159917945459597,0.00018159917945459597
batch 2,2.0500000000000003,-0.00014142952274211407,0.00014142952274211407
batch 2,2.1,-0.00011014533334576006,0.00011014533334576006
batch 2,2.15,-8.578077213268156e-05,8.578077213268156e-05
batch 2,2.2,-6.680694492693281e-05,6.680694492693281e-05
batch 2,2.25,-5.203018416559273e-05,5.203018416559273e-05
batch 2,2.3000000000000003,-4.05212488168249e-05,4.05212488168249e-05
batch 2,2.35,-3.155792439524966e-05,3.155792439524966e-05
batch 2,2.4000000000000004,-2.4577426159810632e-05,2.4577426159810632e-05
batch 2,2.45,-1.9140997602455047e-05,1.9140997602455047e-05
batch 2,2.5,-1.4907445351614405e-05,1.4907445351614405e-05
batch 2,2.5500000000000003,-1.160981579565673e-05,1.160981579565673e-05
batch 2,2.6,-9.041530200017457e-06,9.041530200017457e-06
batch 2,2.6500000000000004,-7.041475015033746e-06,7.041475015033746e-06
batch 2,2.7,-5.483849451249364e-06,5.483849451249364e-06
batch 2,2.75,-4.270748073221666e-06,4.270748073221666e-06
batch 2,2.8000000000000003,-3.3258348280038304e-06,3.3258348280038304e-06
batch 2,2.85,-2.590239954257088e-06,2.590239954257088e-06
batch 2,2.9000000000000004,-2.0173280240681465e-06,2.0173280240681465e-06
batch 2,2.95,-1.5712133391762513e-06,1.5712133391762513e-06
batch 2,3.0,-1.223142143328582e-06,1.223142143328582e-06
batch 2,3.0500000000000003,-9.520383482737248e-07,9.520383482737248e-07
batch 2,3.1,-7.412933999816372e-07,7.412933999816372e-07
batch 2,3.1500000000000004,-5.775286428280254e-07,5.775286428280254e-07
batch 2,3.2,-4.501218083121781e-07,4.501218083121781e-07
batch 2,3.25,-3.5055018404881377e-07,3.5055018404881377e-07
batch 2,3.3000000000000003,-2.732237449897225e-07,2.732237449897225e-07
batch 2,3.35,-2.12908563973566e-07,2.12908563973566e-07
batch 2,3.4000000000000004,-1.660829200008807e-07,1.660829200008807e-07
batch 2,3.45,-1.2964933051650076e-07,1.2964933051650076e-07
batch 2,3.5,-1.0137658965742201e-07,1.0137658965742201e-07
batch 2,3.5500000000000003,-7.8951234205032e-08,7.8951234205032e-08
batch 2,3.6,-6.131090815917277e-08,6.131090815917277e-08
batch 2,3.6500000000000004,-4.639331738127741e-08,4.639331738127741e-08
batch 2,3.7,-3.655281531807761e-08,3.655281531807761e-08
batch 2,3.75,-2.8426502864471837e-08,2.8426502864471837e-08
batch 2,3.8000000000000003,-2.191078777675405e-08,2.191078777675405e-08
batch 2,3.85,-1.6855673423782376e-08,1.6855673423782376e-08
batch 2,3.9000000000000004,-1.3134503222439233e-08,1.3134503222439233e-08
batch 2,3.95,-1.0234785570558878e-08,1.0234785570558878e-08
batch 2,4.0,-8.083014407374174e-09,8.083014407374174e-09
batch 2,4.05,-6.389588078570881e-09,6.389588078570881e-09
batch 2,4.1000000000000005,-5.05515277374994e-09,5.05515277374994e-09
batch 2,4.15,-4.0008575223696924e-09,4.0008575223696924e-09
batch 2,4.2,-3.1483848905607924e-09,3.1483848905607924e-09
batch 2,4.25,-2.4792745767853445e-09,2.4792745767853445e-09
batch 2,4.3,-1.940339396094442e-09,1.940339396094442e-09
batch 2,4.3500000000000005,-1.5240986836030776e-09,1.5240986836030776e-09
batch 2,4.4,-1.1925219852857987e-09,1.1925219852857987e-09
batch 2,4.45,-9.362434098917336e-10,9.362434098917336e-10
batch 2,4.5,-7.356221336086593e-10,7.356221336086593e-10
batch 2,4.55,-5.772575809443448e-10,5.772575809443448e-10
batch 2,4.6000000000000005,-3.754329460371717e-10,3.754329486459768e-10
batch 2,4.65,-1.7978400296225786e-10,1.7978400927800031e-10
batch 2,4.7,-9.875192736907845e-12,9.875203262272476e-12
