batch,time,x1,x2
batch 1,0.0,-6.0,-6.0
batch 1,0.05,-6.090678487436321,-6.090678487436321
batch 1,0.1,-6.182727142085153,-6.182727142085153
batch 1,0.15000000000000002,-6.27616710601697,-6.27616710601697
batch 1,0.2,-6.371019234882451,-6.371019234882451
batch 1,0.25,-6.467304866087455,-6.467304866087455
batch 1,0.30000000000000004,-6.56504566170232,-6.56504566170232
batch 1,0.35000000000000003,-6.664263612336408,-6.664263612336408
batch 1,0.4,-6.764981048444058,-6.764981048444058
batch 1,0.45,-6.867220645522615,-6.867220645522615
batch 1,0.5,-6.971005395903444,-6.971005395903444
batch 1,0.55,-7.076358652668904,-7.076358652668904
batch 1,0.6000000000000001,-7.183304119027223,-7.183304119027223
batch 1,0.65,-7.291865860247469,-7.291865860247469
batch 1,0.7000000000000001,-7.402068305543289,-7.402068305543289
batch 1,0.75,-7.5139362606188325,-7.5139362606188325
batch 1,0.8,-7.627494890195607,-7.627494890195607
batch 1,0.8500000000000001,-7.742769733199756,-7.742769733199756
batch 1,0.9,-7.859786713616662,-7.859786713616662
batch 1,0.9500000000000001,-7.978572168084142,-7.978572168084142
batch 1,1.0,-8.099152827323499,-8.099152827323499
batch 1,1.05,-8.22155582933118,-8.22155582933118
batch 1,1.1,-8.34580872777538,-8.34580872777538
batch 1,1.1500000000000001,-8.471939474093263,-8.471939474093263
batch 1,1.2000000000000002,-8.599976442731217,-8.599976442731217
batch 1,1.25,-8.729948442742145,-8.729948442742145
batch 1,1.3,-8.86188471811813,-8.86188471811813
batch 1,1.35,-8.995814955655623,-8.995814955655623
batch 1,1.4000000000000001,-9.131769291572022,-9.131769291572022
batch 1,1.4500000000000002,-9.269778315488738,-9.269778315488738
batch 1,1.5,-9.40987307778871,-9.40987307778871
batch 1,1.55,-9.552085098362959,-9.552085098362959
batch 1,1.6,-9.696446379923264,-9.696446379923264
batch 1,1.6500000000000001,-9.842989404526362,-9.842989404526362
batch 1,1.7000000000000002,-9.991747143378275,-9.991747143378275
batch 1,1.75,-10.142753065212226,-10.142753065212226
batch 1,1.8,-10.296041149079235,-10.296041149079235
batch 1,1.85,-10.451645888091054,-10.451645888091054
batch 1,1.9000000000000001,-10.609602292425794,-10.609602292425794
batch 1,1.9500000000000002,-10.769945899699584,-10.769945899699584
batch 1,2.0,-10.932712796099546,-10.932712796099546
batch 1,2.0500000000000003,-11.097939614258054,-11.097939614258054
batch 1,2.1,-11.265663531523643,-11.265663531523643
batch 1,2.15,-11.435922284856211,-11.435922284856211
batch 1,2.2,-11.608754178705842,-11.608754178705842
batch 1,2.25,-11.784198093016624,-11.784198093016624
batch 1,2.3000000000000003,-11.96229349135545,-11.96229349135545
batch 1,2.35,-12.1430804291658,-12.1430804291658
batch 1,2.4000000000000004,-12.32659958146357,-12.32659958146357
batch 1,2.45,-12.512892256664065,-12.512892256664065
batch 1,2.5,-12.702000372272618,-12.702000372272618
batch 1,2.5500000000000003,-12.893966481852718,-12.893966481852718
batch 1,2.6,-13.088833785514764,-13.088833785514764
batch 1,2.6500000000000004,-13.286646140512374,-13.286646140512374
batch 1,2.7,-13.487448070817349,-13.487448070817349
batch 1,2.75,-13.691284746187193,-13.691284746187193
batch 1,2.8000000000000003,-13.89820202204735,-13.89820202204735
batch 1,2.85,-14.10824645553496,-14.10824645553496
batch 1,2.9000000000000004,-14.321465306598567,-14.321465306598567
batch 1,2.95,-14.53790654837027,-14.53790654837027
batch 1,3.0,-14.75761887766198,-14.75761887766198
batch 1,3.0500000000000003,-14.98065172768047,-14.98065172768047
batch 1,3.1,-15.207055287408387,-15.207055287408387
batch 1,3.1500000000000004,-15.436880499498226,-15.436880499498226
batch 1,3.2,-15.67017907542522,-15.67017907542522
batch 1,3.25,-15.907003507964221,-15.907003507964221
batch 1,3.3000000000000003,-16.14740708289509,-16.14740708289509
batch 1,3.35,-16.39144389086042,-16.39144389086042
batch 1,3.4000000000000004,-16.63916884138431,-16.63916884138431
batch 1,3.45,-16.890637675828813,-16.890637675828813
batch 1,3.5,-17.145906975966085,-17.145906975966085
batch 1,3.5500000000000003,-17.4050341784558,-17.4050341784558
batch 1,3.6,-17.66807758764662,-17.66807758764662
batch 1,3.6500000000000004,-17.935096388521327,-17.935096388521327
batch 1,3.7,-18.206150659953057,-18.206150659953057
batch 1,3.75,-18.481301392439725,-18.481301392439725
batch 1,3.8000000000000003,-18.76061049771676,-18.76061049771676
batch 1,3.85,-19.044140821497592,-19.044140821497592
batch 1,3.9000000000000004,-19.331956158790817,-19.331956158790817
batch 1,3.95,-19.624121268039254,-19.624121268039254
batch 1,4.0,-19.92070188543536,-19.92070188543536
batch 1,4.05,-20.221764740894514,-20.221764740894514
batch 1,4.1000000000000005,-20.52737757944014,-20.52737757944014
batch 1,4.15,-20.837609166241315,-20.837609166241315
batch 1,4.2,-21.1525293046302,-21.1525293046302
batch 1,4.25,-21.472208852395575,-21.472208852395575
batch 1,4.3,-21.79671973750883,-21.79671973750883
batch 1,4.3500000000000005,-22.12613497404779,-22.12613497404779
batch 1,4.4,-22.46052868186395,-22.46052868186395
batch 1,4.45,-22.799976105428282,-22.799976105428282
batch 1,4.5,-23.14455362177164,-23.14455362177164
batch 1,4.55,-23.494338762071088,-23.494338762071088
batch 1,4.6000000000000005,-23.849410228562512,-23.849410228562512
batch 1,4.65,-24.209847911999702,-24.209847911999702
batch 1,4.7,-24.575732909618406,-24.575732909618406
batch 1,4.75,-24.947147553052176,-24.947147553052176
batch 1,4.800000000000001,-25.324175416699582,-25.324175416699582
batch 1,4.8500000000000005,-25.70690133395278,-25.70690133395278
batch 1,4.9,-26.095411419595184,-26.095411419595184
batch 1,4.95,-26.48979308891358,-26.48979308891358
batch 2,0.0,-6.0,6.0
batch 2,0.05,-5.566461003608271,5.566461003608271
batch 2,0.1,-5.164247925566072,5.164247925566072
batch 2,0.15000000000000002,-4.791097330522129,4.791097330522129
batch 2,0.2,-4.444909345301695,4.444909345301695
batch 2,0.25,-4.12373573328879,4.12373573328879
batch 2,0.30000000000000004,-3.8257689698146606,3.8257689698146606
